date,station_name,river_basin,upstream_dam_outflow_cumec,discharge_cumec,water_level_m,warning_level_m,danger_level_m,highest_flood_level_m
2019-01-23,Mundali_Barrage_Cuttack,Mahanadi,568.01,1615.36,21.55,26.5,27.5,29.2
2019-01-24,Mundali_Barrage_Cuttack,Mahanadi,460.92,1148.8,21.52,26.5,27.5,29.2
2019-01-25,Mundali_Barrage_Cuttack,Mahanadi,429.83,1411.18,21.5,26.5,27.5,29.2
2019-01-26,Mundali_Barrage_Cuttack,Mahanadi,562.9,1335.6,21.54,26.5,27.5,29.2
2019-01-27,Mundali_Barrage_Cuttack,Mahanadi,460.81,1433.49,21.47,26.5,27.5,29.2
2019-01-28,Mundali_Barrage_Cuttack,Mahanadi,500.81,1569.53,21.47,26.5,27.5,29.2
2019-01-29,Mundali_Barrage_Cuttack,Mahanadi,419.52,1368.83,21.43,26.5,27.5,29.2
2019-01-30,Mundali_Barrage_Cuttack,Mahanadi,412.62,1358.87,21.5,26.5,27.5,29.2
2019-01-31,Mundali_Barrage_Cuttack,Mahanadi,405.81,1344.35,21.44,26.5,27.5,29.2
2019-02-01,Mundali_Barrage_Cuttack,Mahanadi,561.22,1794.97,21.37,26.5,27.5,29.2
2019-02-02,Mundali_Barrage_Cuttack,Mahanadi,559.97,1326.77,21.41,26.5,27.5,29.2
2019-02-03,Mundali_Barrage_Cuttack,Mahanadi,522.61,1687.81,21.49,26.5,27.5,29.2
2019-02-04,Mundali_Barrage_Cuttack,Mahanadi,524.17,1489.43,21.51,26.5,27.5,29.2
2019-02-05,Mundali_Barrage_Cuttack,Mahanadi,534.39,1458.42,21.44,26.5,27.5,29.2
2019-02-06,Mundali_Barrage_Cuttack,Mahanadi,553.88,1390.82,21.44,26.5,27.5,29.2
2019-02-07,Mundali_Barrage_Cuttack,Mahanadi,599.17,1778.43,21.43,26.5,27.5,29.2
2019-02-08,Mundali_Barrage_Cuttack,Mahanadi,488.42,1241.5,21.48,26.5,27.5,29.2
2019-02-09,Mundali_Barrage_Cuttack,Mahanadi,511.61,1424.24,21.45,26.5,27.5,29.2
2019-02-10,Mundali_Barrage_Cuttack,Mahanadi,621.73,1589.8,21.38,26.5,27.5,29.2
2019-02-11,Mundali_Barrage_Cuttack,Mahanadi,578.81,2017.96,21.45,26.5,27.5,29.2
2019-02-12,Mundali_Barrage_Cuttack,Mahanadi,593.1,1647.66,21.47,26.5,27.5,29.2
2019-02-13,Mundali_Barrage_Cuttack,Mahanadi,474.47,1239.18,21.41,26.5,27.5,29.2
2019-02-14,Mundali_Barrage_Cuttack,Mahanadi,422.86,1477.37,21.46,26.5,27.5,29.2
2019-02-15,Mundali_Barrage_Cuttack,Mahanadi,593.8,1461.82,21.5,26.5,27.5,29.2
2019-02-16,Mundali_Barrage_Cuttack,Mahanadi,408.02,1421.2,21.46,26.5,27.5,29.2
2019-02-17,Mundali_Barrage_Cuttack,Mahanadi,517.02,1517.95,21.45,26.5,27.5,29.2
2019-02-18,Mundali_Barrage_Cuttack,Mahanadi,664.67,1918.85,21.38,26.5,27.5,29.2
2019-02-19,Mundali_Barrage_Cuttack,Mahanadi,582.96,1516.21,21.41,26.5,27.5,29.2
2019-02-20,Mundali_Barrage_Cuttack,Mahanadi,482.38,1403.22,21.38,26.5,27.5,29.2
2019-02-21,Mundali_Barrage_Cuttack,Mahanadi,407.99,1262.33,21.41,26.5,27.5,29.2
2019-02-22,Mundali_Barrage_Cuttack,Mahanadi,465.66,1462.37,21.45,26.5,27.5,29.2
2019-02-23,Mundali_Barrage_Cuttack,Mahanadi,443.81,1404.66,21.42,26.5,27.5,29.2
2019-02-24,Mundali_Barrage_Cuttack,Mahanadi,478.14,1374.39,21.5,26.5,27.5,29.2
2019-02-25,Mundali_Barrage_Cuttack,Mahanadi,645.9,2353.63,21.58,26.5,27.5,29.2
2019-02-26,Mundali_Barrage_Cuttack,Mahanadi,580.44,1559.74,21.51,26.5,27.5,29.2
2019-02-27,Mundali_Barrage_Cuttack,Mahanadi,406.57,1480.2,21.48,26.5,27.5,29.2
2019-02-28,Mundali_Barrage_Cuttack,Mahanadi,472.32,1441.65,21.5,26.5,27.5,29.2
2019-03-01,Mundali_Barrage_Cuttack,Mahanadi,716.13,2016.07,21.57,26.5,27.5,29.2
2019-03-02,Mundali_Barrage_Cuttack,Mahanadi,446.23,1207.08,21.48,26.5,27.5,29.2
2019-03-03,Mundali_Barrage_Cuttack,Mahanadi,498.98,1538.29,21.47,26.5,27.5,29.2
2019-03-04,Mundali_Barrage_Cuttack,Mahanadi,496.05,1429.36,21.48,26.5,27.5,29.2
2019-03-05,Mundali_Barrage_Cuttack,Mahanadi,499.21,1283.35,21.36,26.5,27.5,29.2
2019-03-06,Mundali_Barrage_Cuttack,Mahanadi,532.76,1626.11,21.48,26.5,27.5,29.2
2019-03-07,Mundali_Barrage_Cuttack,Mahanadi,504.74,1688.37,21.49,26.5,27.5,29.2
2019-03-08,Mundali_Barrage_Cuttack,Mahanadi,430.23,1151.5,21.47,26.5,27.5,29.2
2019-03-09,Mundali_Barrage_Cuttack,Mahanadi,848.28,2456.47,21.54,26.5,27.5,29.2
2019-03-10,Mundali_Barrage_Cuttack,Mahanadi,519.64,1388.29,21.45,26.5,27.5,29.2
2019-03-11,Mundali_Barrage_Cuttack,Mahanadi,483.33,1483.72,21.34,26.5,27.5,29.2
2019-03-12,Mundali_Barrage_Cuttack,Mahanadi,519.93,1763.5,21.45,26.5,27.5,29.2
2019-03-13,Mundali_Barrage_Cuttack,Mahanadi,461.55,1452.38,21.42,26.5,27.5,29.2
2019-03-14,Mundali_Barrage_Cuttack,Mahanadi,570.16,1454.6,21.35,26.5,27.5,29.2
2019-03-15,Mundali_Barrage_Cuttack,Mahanadi,499.71,1760.58,21.44,26.5,27.5,29.2
2019-03-16,Mundali_Barrage_Cuttack,Mahanadi,408.32,1294.41,21.43,26.5,27.5,29.2
2019-03-17,Mundali_Barrage_Cuttack,Mahanadi,493.66,1413.41,21.49,26.5,27.5,29.2
2019-03-18,Mundali_Barrage_Cuttack,Mahanadi,429.82,1289.1,21.53,26.5,27.5,29.2
2019-03-19,Mundali_Barrage_Cuttack,Mahanadi,436.77,1375.46,21.53,26.5,27.5,29.2
2019-03-20,Mundali_Barrage_Cuttack,Mahanadi,570.47,1349.8,21.42,26.5,27.5,29.2
2019-03-21,Mundali_Barrage_Cuttack,Mahanadi,607.31,1445.05,21.43,26.5,27.5,29.2
2019-03-22,Mundali_Barrage_Cuttack,Mahanadi,443.93,1288.2,21.42,26.5,27.5,29.2
2019-03-23,Mundali_Barrage_Cuttack,Mahanadi,502.11,1690.41,21.43,26.5,27.5,29.2
2019-03-24,Mundali_Barrage_Cuttack,Mahanadi,591.59,1768.59,21.49,26.5,27.5,29.2
2019-03-25,Mundali_Barrage_Cuttack,Mahanadi,546.77,1394.36,21.62,26.5,27.5,29.2
2019-03-26,Mundali_Barrage_Cuttack,Mahanadi,567.01,1465.79,21.52,26.5,27.5,29.2
2019-03-27,Mundali_Barrage_Cuttack,Mahanadi,417.8,1478.44,21.46,26.5,27.5,29.2
2019-03-28,Mundali_Barrage_Cuttack,Mahanadi,570.58,1630.53,21.54,26.5,27.5,29.2
2019-03-29,Mundali_Barrage_Cuttack,Mahanadi,502.79,1332.99,21.57,26.5,27.5,29.2
2019-03-30,Mundali_Barrage_Cuttack,Mahanadi,568.26,1716.49,21.61,26.5,27.5,29.2
2019-03-31,Mundali_Barrage_Cuttack,Mahanadi,507.19,1411.33,21.57,26.5,27.5,29.2
2019-04-01,Mundali_Barrage_Cuttack,Mahanadi,476.23,1413.09,21.6,26.5,27.5,29.2
2019-04-02,Mundali_Barrage_Cuttack,Mahanadi,577.84,1365.96,21.46,26.5,27.5,29.2
2019-04-03,Mundali_Barrage_Cuttack,Mahanadi,577.75,1748.52,21.33,26.5,27.5,29.2
2019-04-04,Mundali_Barrage_Cuttack,Mahanadi,466.55,1540.38,21.31,26.5,27.5,29.2
2019-04-05,Mundali_Barrage_Cuttack,Mahanadi,423.97,1394.66,21.37,26.5,27.5,29.2
2019-04-06,Mundali_Barrage_Cuttack,Mahanadi,438.15,1496.88,21.49,26.5,27.5,29.2
2019-04-07,Mundali_Barrage_Cuttack,Mahanadi,441.71,1292.48,21.37,26.5,27.5,29.2
2019-04-08,Mundali_Barrage_Cuttack,Mahanadi,539.85,1577.9,21.52,26.5,27.5,29.2
2019-04-09,Mundali_Barrage_Cuttack,Mahanadi,553.68,1613.68,21.58,26.5,27.5,29.2
2019-04-10,Mundali_Barrage_Cuttack,Mahanadi,557.4,1642.83,21.54,26.5,27.5,29.2
2019-04-11,Mundali_Barrage_Cuttack,Mahanadi,522.98,1507.79,21.58,26.5,27.5,29.2
2019-04-12,Mundali_Barrage_Cuttack,Mahanadi,443.69,1051.35,21.52,26.5,27.5,29.2
2019-04-13,Mundali_Barrage_Cuttack,Mahanadi,539.5,1689.31,21.52,26.5,27.5,29.2
2019-04-14,Mundali_Barrage_Cuttack,Mahanadi,654.11,1808.97,21.58,26.5,27.5,29.2
2019-04-15,Mundali_Barrage_Cuttack,Mahanadi,596.85,1640.43,21.58,26.5,27.5,29.2
2019-04-16,Mundali_Barrage_Cuttack,Mahanadi,466.04,1238.1,21.51,26.5,27.5,29.2
2019-04-17,Mundali_Barrage_Cuttack,Mahanadi,527.2,1563.03,21.44,26.5,27.5,29.2
2019-04-18,Mundali_Barrage_Cuttack,Mahanadi,529.74,1483.77,21.32,26.5,27.5,29.2
2019-04-19,Mundali_Barrage_Cuttack,Mahanadi,575.13,1575.39,21.36,26.5,27.5,29.2
2019-04-20,Mundali_Barrage_Cuttack,Mahanadi,434.15,1287.77,21.45,26.5,27.5,29.2
2019-04-21,Mundali_Barrage_Cuttack,Mahanadi,574.5,1483.88,21.45,26.5,27.5,29.2
2019-04-22,Mundali_Barrage_Cuttack,Mahanadi,543.34,1537.08,21.44,26.5,27.5,29.2
2019-04-23,Mundali_Barrage_Cuttack,Mahanadi,433.62,1546.11,21.41,26.5,27.5,29.2
2019-04-24,Mundali_Barrage_Cuttack,Mahanadi,590.85,1732.59,21.43,26.5,27.5,29.2
2019-04-25,Mundali_Barrage_Cuttack,Mahanadi,438.16,1452.92,21.49,26.5,27.5,29.2
2019-04-26,Mundali_Barrage_Cuttack,Mahanadi,520.15,1581.79,21.48,26.5,27.5,29.2
2019-04-27,Mundali_Barrage_Cuttack,Mahanadi,476.59,1504.25,21.41,26.5,27.5,29.2
2019-04-28,Mundali_Barrage_Cuttack,Mahanadi,601.6,1592.9,21.42,26.5,27.5,29.2
2019-04-29,Mundali_Barrage_Cuttack,Mahanadi,514.73,1471.04,21.47,26.5,27.5,29.2
2019-04-30,Mundali_Barrage_Cuttack,Mahanadi,508.74,1201.04,21.42,26.5,27.5,29.2
2019-05-01,Mundali_Barrage_Cuttack,Mahanadi,8903.89,21584.35,23.94,26.5,27.5,29.2
2019-05-02,Mundali_Barrage_Cuttack,Mahanadi,469.56,1266.07,23.05,26.5,27.5,29.2
2019-05-03,Mundali_Barrage_Cuttack,Mahanadi,586.53,1734.11,22.43,26.5,27.5,29.2
2019-05-04,Mundali_Barrage_Cuttack,Mahanadi,419.14,1152.65,22.02,26.5,27.5,29.2
2019-05-05,Mundali_Barrage_Cuttack,Mahanadi,583.1,1595.78,21.89,26.5,27.5,29.2
2019-05-06,Mundali_Barrage_Cuttack,Mahanadi,504.07,1526.93,21.69,26.5,27.5,29.2
2019-05-07,Mundali_Barrage_Cuttack,Mahanadi,508.29,1581.41,21.6,26.5,27.5,29.2
2019-05-08,Mundali_Barrage_Cuttack,Mahanadi,518.74,1427.19,21.61,26.5,27.5,29.2
2019-05-09,Mundali_Barrage_Cuttack,Mahanadi,422.68,1128.64,21.4,26.5,27.5,29.2
2019-05-10,Mundali_Barrage_Cuttack,Mahanadi,510.19,1352.43,21.37,26.5,27.5,29.2
2019-05-11,Mundali_Barrage_Cuttack,Mahanadi,505.36,1100.15,21.43,26.5,27.5,29.2
2019-05-12,Mundali_Barrage_Cuttack,Mahanadi,554.38,1884.62,21.5,26.5,27.5,29.2
2019-05-13,Mundali_Barrage_Cuttack,Mahanadi,22458.92,43657.98,26.55,26.5,27.5,29.2
2019-05-14,Mundali_Barrage_Cuttack,Mahanadi,470.63,1466.9,24.76,26.5,27.5,29.2
2019-05-15,Mundali_Barrage_Cuttack,Mahanadi,439.86,1359.36,23.65,26.5,27.5,29.2
2019-05-16,Mundali_Barrage_Cuttack,Mahanadi,502.84,1530.18,22.92,26.5,27.5,29.2
2019-05-17,Mundali_Barrage_Cuttack,Mahanadi,453.03,1386.63,22.38,26.5,27.5,29.2
2019-05-18,Mundali_Barrage_Cuttack,Mahanadi,571.78,1574.51,22.11,26.5,27.5,29.2
2019-05-19,Mundali_Barrage_Cuttack,Mahanadi,557.02,1816.49,21.97,26.5,27.5,29.2
2019-05-20,Mundali_Barrage_Cuttack,Mahanadi,536.13,1254.36,21.73,26.5,27.5,29.2
2019-05-21,Mundali_Barrage_Cuttack,Mahanadi,525.91,1322.49,21.65,26.5,27.5,29.2
2019-05-22,Mundali_Barrage_Cuttack,Mahanadi,567.39,1405.33,21.54,26.5,27.5,29.2
2019-05-23,Mundali_Barrage_Cuttack,Mahanadi,481.28,1161.76,21.5,26.5,27.5,29.2
2019-05-24,Mundali_Barrage_Cuttack,Mahanadi,565.61,1520.66,21.4,26.5,27.5,29.2
2019-05-25,Mundali_Barrage_Cuttack,Mahanadi,500.25,1525.84,21.34,26.5,27.5,29.2
2019-05-26,Mundali_Barrage_Cuttack,Mahanadi,602.06,1575.85,21.36,26.5,27.5,29.2
2019-05-27,Mundali_Barrage_Cuttack,Mahanadi,530.29,1515.74,21.43,26.5,27.5,29.2
2019-05-28,Mundali_Barrage_Cuttack,Mahanadi,400.26,1154.72,21.35,26.5,27.5,29.2
2019-05-29,Mundali_Barrage_Cuttack,Mahanadi,517.99,1581.65,21.34,26.5,27.5,29.2
2019-05-30,Mundali_Barrage_Cuttack,Mahanadi,538.49,1677.47,21.43,26.5,27.5,29.2
2019-05-31,Mundali_Barrage_Cuttack,Mahanadi,490.4,1643.86,21.46,26.5,27.5,29.2
2019-06-01,Mundali_Barrage_Cuttack,Mahanadi,2182.04,8074.89,22.45,26.5,27.5,29.2
2019-06-02,Mundali_Barrage_Cuttack,Mahanadi,628.75,1904.42,22.19,26.5,27.5,29.2
2019-06-03,Mundali_Barrage_Cuttack,Mahanadi,1898.72,6989.89,22.62,26.5,27.5,29.2
2019-06-04,Mundali_Barrage_Cuttack,Mahanadi,1285.47,4910.92,22.69,26.5,27.5,29.2
2019-06-05,Mundali_Barrage_Cuttack,Mahanadi,1211.92,3871.92,22.67,26.5,27.5,29.2
2019-06-06,Mundali_Barrage_Cuttack,Mahanadi,868.01,2868.25,22.47,26.5,27.5,29.2
2019-06-07,Mundali_Barrage_Cuttack,Mahanadi,2163.03,8377.7,23.04,26.5,27.5,29.2
2019-06-08,Mundali_Barrage_Cuttack,Mahanadi,1466.51,5404.63,23.1,26.5,27.5,29.2
2019-06-09,Mundali_Barrage_Cuttack,Mahanadi,24117.83,46533.63,27.9,26.5,27.5,29.2
2019-06-10,Mundali_Barrage_Cuttack,Mahanadi,6176.18,15143.67,27.47,26.5,27.5,29.2
2019-06-11,Mundali_Barrage_Cuttack,Mahanadi,7410.46,15409.32,26.99,26.5,27.5,29.2
2019-06-12,Mundali_Barrage_Cuttack,Mahanadi,649.37,2232.1,25.19,26.5,27.5,29.2
2019-06-13,Mundali_Barrage_Cuttack,Mahanadi,27307.16,53189.89,30.15,26.5,27.5,29.2
2019-06-14,Mundali_Barrage_Cuttack,Mahanadi,703.94,1850.26,27.11,26.5,27.5,29.2
2019-06-15,Mundali_Barrage_Cuttack,Mahanadi,8700.85,19975.86,27.46,26.5,27.5,29.2
2019-06-16,Mundali_Barrage_Cuttack,Mahanadi,2145.98,7812.34,26.23,26.5,27.5,29.2
2019-06-17,Mundali_Barrage_Cuttack,Mahanadi,1210.35,4369.82,24.95,26.5,27.5,29.2
2019-06-18,Mundali_Barrage_Cuttack,Mahanadi,6633.06,17032.56,25.66,26.5,27.5,29.2
2019-06-19,Mundali_Barrage_Cuttack,Mahanadi,749.29,2336.91,24.14,26.5,27.5,29.2
2019-06-20,Mundali_Barrage_Cuttack,Mahanadi,1443.63,5426.46,23.73,26.5,27.5,29.2
2019-06-21,Mundali_Barrage_Cuttack,Mahanadi,1936.78,7222.76,23.78,26.5,27.5,29.2
2019-06-22,Mundali_Barrage_Cuttack,Mahanadi,2203.73,8306.87,23.87,26.5,27.5,29.2
2019-06-23,Mundali_Barrage_Cuttack,Mahanadi,1539.56,5660.48,23.68,26.5,27.5,29.2
2019-06-24,Mundali_Barrage_Cuttack,Mahanadi,2250.53,8417.33,24.0,26.5,27.5,29.2
2019-06-25,Mundali_Barrage_Cuttack,Mahanadi,1538.24,5682.8,23.72,26.5,27.5,29.2
2019-06-26,Mundali_Barrage_Cuttack,Mahanadi,1535.22,5599.56,23.48,26.5,27.5,29.2
2019-06-27,Mundali_Barrage_Cuttack,Mahanadi,1069.91,3420.49,23.08,26.5,27.5,29.2
2019-06-28,Mundali_Barrage_Cuttack,Mahanadi,564.33,1871.85,22.62,26.5,27.5,29.2
2019-06-29,Mundali_Barrage_Cuttack,Mahanadi,616.37,1557.81,22.22,26.5,27.5,29.2
2019-06-30,Mundali_Barrage_Cuttack,Mahanadi,1231.28,4416.55,22.34,26.5,27.5,29.2
2019-07-01,Mundali_Barrage_Cuttack,Mahanadi,1140.25,3711.95,22.3,26.5,27.5,29.2
2019-07-02,Mundali_Barrage_Cuttack,Mahanadi,23461.49,44039.24,27.05,26.5,27.5,29.2
2019-07-03,Mundali_Barrage_Cuttack,Mahanadi,502.19,1788.63,25.16,26.5,27.5,29.2
2019-07-04,Mundali_Barrage_Cuttack,Mahanadi,1501.21,5268.35,24.43,26.5,27.5,29.2
2019-07-05,Mundali_Barrage_Cuttack,Mahanadi,2179.58,8408.21,24.32,26.5,27.5,29.2
2019-07-06,Mundali_Barrage_Cuttack,Mahanadi,1383.41,4716.14,23.71,26.5,27.5,29.2
2019-07-07,Mundali_Barrage_Cuttack,Mahanadi,759.22,2051.05,22.96,26.5,27.5,29.2
2019-07-08,Mundali_Barrage_Cuttack,Mahanadi,1763.26,6288.0,23.09,26.5,27.5,29.2
2019-07-09,Mundali_Barrage_Cuttack,Mahanadi,1817.97,6868.6,23.22,26.5,27.5,29.2
2019-07-10,Mundali_Barrage_Cuttack,Mahanadi,513.71,1578.16,22.56,26.5,27.5,29.2
2019-07-11,Mundali_Barrage_Cuttack,Mahanadi,775.92,2294.44,22.22,26.5,27.5,29.2
2019-07-12,Mundali_Barrage_Cuttack,Mahanadi,2269.99,8409.14,22.85,26.5,27.5,29.2
2019-07-13,Mundali_Barrage_Cuttack,Mahanadi,1219.55,4426.25,22.79,26.5,27.5,29.2
2019-07-14,Mundali_Barrage_Cuttack,Mahanadi,33703.43,67068.99,30.2,26.5,27.5,29.2
2019-07-15,Mundali_Barrage_Cuttack,Mahanadi,788.13,2755.41,27.37,26.5,27.5,29.2
2019-07-16,Mundali_Barrage_Cuttack,Mahanadi,883.76,3164.1,25.51,26.5,27.5,29.2
2019-07-17,Mundali_Barrage_Cuttack,Mahanadi,545.02,2013.44,24.16,26.5,27.5,29.2
2019-07-18,Mundali_Barrage_Cuttack,Mahanadi,6469.45,15902.1,25.01,26.5,27.5,29.2
2019-07-19,Mundali_Barrage_Cuttack,Mahanadi,896.17,3176.51,24.14,26.5,27.5,29.2
2019-07-20,Mundali_Barrage_Cuttack,Mahanadi,1893.23,7131.46,23.99,26.5,27.5,29.2
2019-07-21,Mundali_Barrage_Cuttack,Mahanadi,727.97,2164.3,23.25,26.5,27.5,29.2
2019-07-22,Mundali_Barrage_Cuttack,Mahanadi,1326.14,4706.5,23.01,26.5,27.5,29.2
2019-07-23,Mundali_Barrage_Cuttack,Mahanadi,577.78,1835.82,22.52,26.5,27.5,29.2
2019-07-24,Mundali_Barrage_Cuttack,Mahanadi,7851.86,18326.82,24.37,26.5,27.5,29.2
2019-07-25,Mundali_Barrage_Cuttack,Mahanadi,532.06,1718.76,23.39,26.5,27.5,29.2
2019-07-26,Mundali_Barrage_Cuttack,Mahanadi,737.65,2666.07,22.91,26.5,27.5,29.2
2019-07-27,Mundali_Barrage_Cuttack,Mahanadi,1255.36,4197.79,22.65,26.5,27.5,29.2
2019-07-28,Mundali_Barrage_Cuttack,Mahanadi,1076.57,3687.52,22.4,26.5,27.5,29.2
2019-07-29,Mundali_Barrage_Cuttack,Mahanadi,22722.09,41387.41,26.87,26.5,27.5,29.2
2019-07-30,Mundali_Barrage_Cuttack,Mahanadi,1610.96,5743.11,25.52,26.5,27.5,29.2
2019-07-31,Mundali_Barrage_Cuttack,Mahanadi,576.23,1805.24,24.16,26.5,27.5,29.2
2019-08-01,Mundali_Barrage_Cuttack,Mahanadi,1025.8,3746.82,23.58,26.5,27.5,29.2
2019-08-02,Mundali_Barrage_Cuttack,Mahanadi,951.07,3170.47,23.01,26.5,27.5,29.2
2019-08-03,Mundali_Barrage_Cuttack,Mahanadi,880.47,3051.6,22.68,26.5,27.5,29.2
2019-08-04,Mundali_Barrage_Cuttack,Mahanadi,549.72,1803.82,22.28,26.5,27.5,29.2
2019-08-05,Mundali_Barrage_Cuttack,Mahanadi,1006.5,3521.75,22.29,26.5,27.5,29.2
2019-08-06,Mundali_Barrage_Cuttack,Mahanadi,11090.4,22863.12,24.53,26.5,27.5,29.2
2019-08-07,Mundali_Barrage_Cuttack,Mahanadi,610.2,2144.94,23.59,26.5,27.5,29.2
2019-08-08,Mundali_Barrage_Cuttack,Mahanadi,459.04,1441.36,22.83,26.5,27.5,29.2
2019-08-09,Mundali_Barrage_Cuttack,Mahanadi,587.19,1798.96,22.5,26.5,27.5,29.2
2019-08-10,Mundali_Barrage_Cuttack,Mahanadi,1889.44,6974.25,22.85,26.5,27.5,29.2
2019-08-11,Mundali_Barrage_Cuttack,Mahanadi,9286.02,17788.15,24.25,26.5,27.5,29.2
2019-08-12,Mundali_Barrage_Cuttack,Mahanadi,24197.82,45796.01,28.54,26.5,27.5,29.2
2019-08-13,Mundali_Barrage_Cuttack,Mahanadi,1162.37,3738.41,26.37,26.5,27.5,29.2
2019-08-14,Mundali_Barrage_Cuttack,Mahanadi,20985.84,43603.74,29.8,26.5,27.5,29.2
2019-08-15,Mundali_Barrage_Cuttack,Mahanadi,858.78,3201.99,27.12,26.5,27.5,29.2
2019-08-16,Mundali_Barrage_Cuttack,Mahanadi,1555.46,5412.25,25.63,26.5,27.5,29.2
2019-08-17,Mundali_Barrage_Cuttack,Mahanadi,1368.3,4913.54,24.6,26.5,27.5,29.2
2019-08-18,Mundali_Barrage_Cuttack,Mahanadi,685.65,2142.3,23.56,26.5,27.5,29.2
2019-08-19,Mundali_Barrage_Cuttack,Mahanadi,10223.37,20023.27,25.02,26.5,27.5,29.2
2019-08-20,Mundali_Barrage_Cuttack,Mahanadi,685.71,2152.19,23.83,26.5,27.5,29.2
2019-08-21,Mundali_Barrage_Cuttack,Mahanadi,1345.1,4652.16,23.39,26.5,27.5,29.2
2019-08-22,Mundali_Barrage_Cuttack,Mahanadi,29542.61,57931.42,29.49,26.5,27.5,29.2
2019-08-23,Mundali_Barrage_Cuttack,Mahanadi,1754.97,6113.08,27.32,26.5,27.5,29.2
2019-08-24,Mundali_Barrage_Cuttack,Mahanadi,891.8,3114.65,25.44,26.5,27.5,29.2
2019-08-25,Mundali_Barrage_Cuttack,Mahanadi,1985.56,7076.27,24.89,26.5,27.5,29.2
2019-08-26,Mundali_Barrage_Cuttack,Mahanadi,1798.29,6545.21,24.34,26.5,27.5,29.2
2019-08-27,Mundali_Barrage_Cuttack,Mahanadi,1657.66,6157.63,23.95,26.5,27.5,29.2
2019-08-28,Mundali_Barrage_Cuttack,Mahanadi,1199.19,4135.63,23.48,26.5,27.5,29.2
2019-08-29,Mundali_Barrage_Cuttack,Mahanadi,1669.39,6368.52,23.29,26.5,27.5,29.2
2019-08-30,Mundali_Barrage_Cuttack,Mahanadi,1841.97,6514.35,23.34,26.5,27.5,29.2
2019-08-31,Mundali_Barrage_Cuttack,Mahanadi,1718.19,6671.78,23.4,26.5,27.5,29.2
2019-09-01,Mundali_Barrage_Cuttack,Mahanadi,24180.73,44833.68,27.87,26.5,27.5,29.2
2019-09-02,Mundali_Barrage_Cuttack,Mahanadi,989.86,3098.42,25.79,26.5,27.5,29.2
2019-09-03,Mundali_Barrage_Cuttack,Mahanadi,18650.93,39987.66,28.98,26.5,27.5,29.2
2019-09-04,Mundali_Barrage_Cuttack,Mahanadi,767.07,2559.75,26.35,26.5,27.5,29.2
2019-09-05,Mundali_Barrage_Cuttack,Mahanadi,1476.02,5531.23,25.19,26.5,27.5,29.2
2019-09-06,Mundali_Barrage_Cuttack,Mahanadi,492.69,1503.6,23.85,26.5,27.5,29.2
2019-09-07,Mundali_Barrage_Cuttack,Mahanadi,909.01,3380.29,23.24,26.5,27.5,29.2
