date,rainfall_imd_mm,temp_max_c,temp_min_c,pressure_hpa,wind_speed_kmh,relative_humidity_pct
2019-02-24,0.0,36.55,28.63,1008.03,13.28,59.27
2019-02-25,5.89,33.35,21.65,1006.73,15.76,59.74
2019-02-26,0.0,30.26,22.29,1007.33,17.47,58.96
2019-02-27,0.0,32.4,23.1,1007.99,16.93,54.26
2019-02-28,0.0,34.98,28.37,1010.04,14.73,52.47
2019-03-01,4.31,32.76,26.26,1008.09,18.54,53.91
2019-03-02,0.0,32.23,21.56,1007.68,7.89,62.85
2019-03-03,0.0,33.58,27.51,1006.5,11.95,54.76
2019-03-04,0.31,36.12,26.62,1009.14,13.75,57.1
2019-03-05,0.0,32.85,21.07,1008.69,14.67,55.06
2019-03-06,2.02,33.55,23.77,1008.63,13.21,64.91
2019-03-07,0.0,35.21,28.94,1008.28,13.67,59.88
2019-03-08,0.0,31.75,22.97,1007.1,17.1,45.95
2019-03-09,9.16,29.57,18.69,1007.99,13.6,60.21
2019-03-10,0.0,34.85,26.34,1010.21,17.54,52.65
2019-03-11,0.0,33.92,25.64,1006.35,13.66,61.19
2019-03-12,0.0,33.08,21.9,1007.92,14.02,55.23
2019-03-13,0.0,32.65,25.87,1005.6,14.36,57.57
2019-03-14,0.0,35.37,27.22,1010.31,15.0,51.26
2019-03-15,0.0,33.45,22.34,1010.33,20.18,63.78
2019-03-16,0.0,31.15,24.98,1007.6,15.94,61.84
2019-03-17,0.0,32.3,26.22,1007.49,17.18,46.21
2019-03-18,0.0,34.92,26.83,1007.79,18.51,55.37
2019-03-19,0.0,35.09,23.4,1008.5,8.89,54.72
2019-03-20,0.0,33.1,25.13,1008.6,10.09,58.35
2019-03-21,0.34,33.83,26.74,1006.57,16.33,53.65
2019-03-22,0.0,31.11,23.95,1008.76,11.55,52.2
2019-03-23,0.32,30.2,22.01,1007.69,19.97,55.27
2019-03-24,4.02,31.65,20.41,1008.08,17.56,53.1
2019-03-25,0.0,31.98,23.76,1007.14,21.12,53.45
2019-03-26,0.0,36.32,30.1,1007.63,16.55,50.06
2019-03-27,0.0,39.18,32.54,1009.68,18.57,42.72
2019-03-28,0.0,31.5,25.38,1005.87,10.82,51.73
2019-03-29,0.0,36.38,25.65,1009.32,11.38,54.98
2019-03-30,0.0,36.05,27.46,1008.81,12.84,51.66
2019-03-31,0.0,34.85,26.72,1010.86,14.08,55.64
2019-04-01,0.0,31.7,24.58,1007.27,11.51,52.27
2019-04-02,0.0,33.1,24.64,1006.75,15.17,54.58
2019-04-03,0.0,31.85,24.82,1009.13,15.58,56.04
2019-04-04,0.0,29.67,19.05,1008.82,12.31,49.99
2019-04-05,0.0,29.76,23.07,1008.07,9.43,58.99
2019-04-06,0.0,32.88,23.69,1006.18,13.55,52.96
2019-04-07,0.16,31.82,21.73,1009.13,15.63,62.26
2019-04-08,0.0,29.49,17.92,1006.45,15.11,51.98
2019-04-09,0.0,34.02,22.97,1010.37,15.01,52.94
2019-04-10,0.0,32.42,21.53,1007.52,14.87,65.38
2019-04-11,0.0,32.53,21.63,1009.42,7.89,49.96
2019-04-12,0.0,35.19,26.17,1006.73,14.98,53.9
2019-04-13,0.0,34.89,25.14,1008.14,9.56,60.72
2019-04-14,3.95,34.39,23.02,1011.17,13.53,58.2
2019-04-15,0.0,34.8,28.6,1006.72,18.53,57.01
2019-04-16,0.0,35.24,28.57,1007.23,17.86,52.78
2019-04-17,0.65,35.11,25.26,1009.42,15.4,64.58
2019-04-18,0.0,31.09,19.64,1007.23,8.66,62.48
2019-04-19,0.0,33.59,23.92,1011.97,14.33,58.63
2019-04-20,0.0,33.69,26.78,1008.66,19.65,61.73
2019-04-21,0.0,33.65,22.1,1008.15,11.03,54.37
2019-04-22,0.0,38.39,30.0,1008.79,13.53,52.87
2019-04-23,0.0,35.05,23.53,1004.52,10.13,48.52
2019-04-24,0.0,30.37,21.66,1007.61,13.26,53.64
2019-04-25,0.0,35.02,26.85,1007.76,19.55,60.63
2019-04-26,2.72,32.91,26.4,1006.18,14.68,56.61
2019-04-27,0.0,33.51,26.25,1007.96,13.66,55.78
2019-04-28,0.09,38.66,32.27,1006.33,13.26,62.55
2019-04-29,0.0,29.4,20.05,1006.14,12.97,53.14
2019-04-30,0.0,33.3,25.68,1008.79,10.67,63.76
2019-05-01,114.98,35.51,29.35,1003.01,40.63,85.85
2019-05-02,0.27,32.64,22.72,1008.72,13.02,53.94
2019-05-03,0.0,34.2,25.81,1008.38,10.76,58.08
2019-05-04,0.0,34.43,25.9,1006.12,10.28,50.92
2019-05-05,0.0,35.33,26.88,1005.88,7.75,63.48
2019-05-06,0.0,32.78,21.57,1008.6,16.92,54.85
2019-05-07,0.0,38.23,30.68,1009.01,14.51,54.08
2019-05-08,0.0,32.89,26.78,1006.83,9.11,57.76
2019-05-09,0.0,33.08,27.01,1008.79,14.77,59.91
2019-05-10,0.0,30.39,21.28,1006.08,12.96,55.99
2019-05-11,0.0,31.08,22.94,1006.8,11.07,60.27
2019-05-12,0.0,35.17,24.77,1008.28,15.82,47.4
2019-05-13,169.42,30.86,20.23,999.32,56.25,100.0
2019-05-14,0.0,35.71,24.91,1007.16,10.74,59.65
2019-05-15,0.0,31.71,22.46,1007.66,15.14,58.05
2019-05-16,0.0,36.08,28.58,1008.69,9.42,54.71
2019-05-17,0.0,36.11,29.91,1008.2,10.76,60.27
2019-05-18,0.0,34.45,23.28,1009.02,12.6,59.43
2019-05-19,2.27,33.73,27.27,1007.4,11.44,62.07
2019-05-20,0.95,37.55,29.64,1008.24,16.84,56.7
2019-05-21,0.0,36.15,25.36,1008.07,12.45,62.05
2019-05-22,0.0,33.9,25.37,1010.18,11.38,58.97
2019-05-23,0.0,32.84,25.44,1006.42,13.9,56.17
2019-05-24,0.0,36.89,25.22,1007.68,20.93,51.68
2019-05-25,0.0,37.33,28.25,1010.43,12.09,52.35
2019-05-26,3.78,34.07,22.25,1007.52,19.21,53.28
2019-05-27,4.23,33.72,24.5,1006.69,19.7,65.25
2019-05-28,0.0,33.98,22.64,1007.42,15.63,60.42
2019-05-29,1.31,32.52,22.17,1006.82,11.81,55.35
2019-05-30,0.0,28.38,18.83,1006.69,12.53,60.22
2019-05-31,0.0,36.59,25.8,1007.46,16.8,57.11
2019-06-01,56.55,36.5,26.42,993.89,32.28,100.0
2019-06-02,4.84,35.23,27.22,995.93,13.14,85.93
2019-06-03,47.7,35.19,27.47,993.14,26.5,96.54
2019-06-04,27.98,37.01,26.33,997.57,21.79,88.39
2019-06-05,21.82,38.22,26.62,992.53,18.12,89.52
2019-06-06,10.03,36.14,28.07,994.35,15.07,85.65
2019-06-07,57.46,36.69,30.54,991.76,33.06,98.91
2019-06-08,32.19,33.14,26.15,990.77,23.99,96.59
2019-06-09,179.06,33.55,21.85,986.57,58.1,100.0
2019-06-10,80.52,33.74,26.09,993.66,33.99,100.0
2019-06-11,62.87,33.77,22.58,994.39,31.23,100.0
2019-06-12,5.75,37.77,26.7,996.74,17.36,90.37
2019-06-13,212.07,38.93,30.04,984.01,64.99,100.0
2019-06-14,6.27,36.77,29.16,994.6,13.66,88.86
2019-06-15,97.87,35.69,26.09,986.49,41.54,100.0
2019-06-16,55.08,36.63,30.0,991.84,27.76,92.73
2019-06-17,26.96,36.32,28.36,994.42,18.11,90.28
2019-06-18,93.88,34.85,25.44,989.95,40.44,100.0
2019-06-19,6.25,37.48,27.24,994.43,15.74,80.64
2019-06-20,34.57,38.81,30.77,994.88,22.99,97.12
2019-06-21,47.6,37.9,27.51,996.42,23.95,93.86
2019-06-22,57.51,38.23,28.28,991.69,37.27,98.77
2019-06-23,35.56,35.02,24.93,994.71,22.12,84.33
2019-06-24,56.76,36.39,28.31,994.96,23.5,100.0
2019-06-25,36.17,34.18,24.62,992.97,27.47,99.75
2019-06-26,36.99,38.52,31.44,994.17,24.22,91.64
2019-06-27,18.98,37.3,28.21,996.45,22.19,79.0
2019-06-28,5.0,35.11,24.47,997.44,10.58,82.14
2019-06-29,2.14,33.59,22.62,996.25,9.86,80.5
2019-06-30,26.88,37.17,30.95,993.86,23.26,96.18
2019-07-01,18.02,38.68,27.47,996.87,17.73,86.42
2019-07-02,158.48,37.78,26.18,984.94,53.86,100.0
2019-07-03,1.19,39.96,31.23,996.45,7.99,97.05
2019-07-04,30.78,36.34,26.3,995.12,19.82,100.0
2019-07-05,56.73,40.04,28.37,993.34,28.09,100.0
2019-07-06,26.93,37.49,25.9,994.49,24.05,96.02
2019-07-07,6.8,41.74,35.1,993.87,18.72,82.78
2019-07-08,42.7,39.69,31.26,993.97,28.24,88.67
2019-07-09,46.18,38.05,27.14,995.29,25.91,90.71
2019-07-10,0.16,36.17,26.0,993.52,11.07,71.28
2019-07-11,7.59,42.1,32.38,997.06,9.15,80.86
2019-07-12,55.73,37.99,29.94,992.63,23.76,90.49
2019-07-13,24.3,41.75,30.87,995.39,19.32,91.25
2019-07-14,283.46,37.56,28.64,978.57,82.25,100.0
2019-07-15,10.28,35.33,25.67,995.98,13.6,89.79
2019-07-16,14.94,40.34,33.25,993.65,23.28,87.59
2019-07-17,3.16,42.11,32.81,995.7,15.17,80.8
2019-07-18,84.68,39.5,32.13,990.98,36.67,100.0
2019-07-19,14.82,38.93,31.51,996.24,15.55,90.92
2019-07-20,48.42,38.22,28.48,993.51,32.77,90.34
2019-07-21,5.15,38.94,32.36,996.37,15.42,82.81
2019-07-22,26.16,38.61,29.05,992.38,21.48,89.84
2019-07-23,4.11,36.94,26.63,992.88,16.73,91.37
2019-07-24,91.82,37.69,29.56,989.42,37.06,100.0
2019-07-25,1.96,40.44,29.16,993.55,15.88,93.18
2019-07-26,10.98,41.44,31.05,998.26,14.63,85.01
2019-07-27,23.13,41.2,34.0,993.23,17.04,89.35
2019-07-28,16.76,42.83,32.06,993.17,14.91,85.45
2019-07-29,136.94,42.71,33.58,988.0,45.99,100.0
2019-07-30,39.41,41.36,31.11,994.51,21.5,87.17
2019-07-31,2.57,36.76,28.38,996.61,21.11,77.11
2019-08-01,20.3,41.01,29.9,994.78,19.32,87.6
2019-08-02,13.41,41.12,30.37,995.68,15.83,84.84
2019-08-03,14.44,38.58,26.73,997.1,20.87,88.71
2019-08-04,3.98,40.68,31.04,996.99,13.04,85.84
2019-08-05,19.55,40.05,33.65,993.34,19.06,90.51
2019-08-06,94.53,41.0,32.36,987.36,38.48,100.0
2019-08-07,6.82,39.01,32.64,996.22,15.06,91.5
2019-08-08,1.68,41.31,29.4,995.39,12.73,80.45
2019-08-09,3.62,41.68,35.31,994.84,15.39,83.1
2019-08-10,47.09,43.04,33.88,990.95,22.64,95.08
2019-08-11,60.95,40.2,31.71,990.59,30.86,100.0
2019-08-12,173.49,40.49,32.93,985.57,55.73,100.0
2019-08-13,21.46,41.31,34.65,995.58,13.48,98.74
2019-08-14,195.32,40.52,30.09,982.95,55.92,100.0
2019-08-15,14.05,42.04,30.3,995.47,15.5,91.41
2019-08-16,32.63,42.88,36.65,993.31,21.89,96.39
2019-08-17,28.39,42.14,32.46,995.5,21.19,86.75
2019-08-18,4.56,45.67,39.42,995.93,15.85,81.09
2019-08-19,73.91,39.01,30.91,990.11,34.52,100.0
2019-08-20,5.73,42.33,31.74,994.59,18.42,79.94
2019-08-21,27.44,41.17,31.48,993.98,22.78,96.35
2019-08-22,236.43,40.59,28.71,983.21,77.47,100.0
2019-08-23,38.6,40.22,32.19,994.22,20.52,83.75
2019-08-24,16.21,41.54,30.22,994.61,14.03,91.43
2019-08-25,47.39,43.71,34.94,991.94,27.32,99.89
2019-08-26,41.95,42.44,30.54,991.54,24.2,94.15
2019-08-27,36.25,42.19,31.15,991.59,23.99,100.0
2019-08-28,24.99,43.31,33.18,991.86,21.23,94.0
2019-08-29,40.09,41.73,34.25,993.57,23.4,89.77
2019-08-30,45.07,45.61,35.92,993.89,23.72,89.97
2019-08-31,42.88,39.42,32.52,991.77,26.89,93.0
2019-09-01,157.04,45.81,34.5,985.98,48.16,100.0
2019-09-02,14.9,44.73,38.18,994.25,16.07,99.26
2019-09-03,185.79,46.16,36.54,987.68,63.52,100.0
2019-09-04,8.81,40.84,34.49,995.47,19.55,81.4
2019-09-05,34.44,36.97,30.08,995.14,20.46,83.0
2019-09-06,2.6,45.58,33.59,996.79,15.22,85.66
2019-09-07,15.31,41.89,33.43,995.47,16.71,92.04
2019-09-08,23.75,41.64,33.64,992.9,18.36,92.98
2019-09-09,20.44,44.72,33.67,994.48,20.65,85.47
2019-09-10,17.16,42.63,34.01,997.63,20.99,91.04
2019-09-11,4.85,43.5,33.56,994.85,14.91,82.44
2019-09-12,8.5,42.29,34.66,996.04,15.21,92.39
2019-09-13,185.12,37.92,29.84,986.22,61.02,100.0
2019-09-14,23.0,42.57,35.01,993.71,22.13,82.63
2019-09-15,6.18,43.75,34.1,995.58,13.12,82.28
2019-09-16,4.59,44.11,34.74,995.05,12.1,83.69
2019-09-17,55.08,43.21,33.95,992.14,27.52,94.38
2019-09-18,18.56,41.98,33.51,997.9,20.5,97.86
2019-09-19,1.8,42.53,36.22,997.95,12.56,85.55
2019-09-20,8.38,45.24,36.12,994.34,17.06,83.25
2019-09-21,59.27,42.35,30.44,990.1,28.63,96.1
2019-09-22,67.18,41.0,31.06,991.96,29.52,100.0
2019-09-23,41.84,43.18,35.46,991.33,25.55,100.0
2019-09-24,28.19,44.5,35.3,994.02,22.5,86.22
2019-09-25,44.14,42.31,35.2,992.75,25.93,99.05
2019-09-26,4.62,41.51,30.22,996.03,15.23,90.45
2019-09-27,95.62,40.86,29.57,990.91,34.34,100.0
2019-09-28,0.36,46.58,35.24,996.31,14.67,80.34
2019-09-29,5.81,43.33,33.07,997.63,14.54,73.97
2019-09-30,48.27,42.82,31.85,989.74,23.07,93.96
2019-10-01,0.0,42.52,35.67,1007.45,12.01,44.85
2019-10-02,0.0,39.96,28.91,1009.87,15.21,54.88
2019-10-03,2.82,45.39,38.97,1006.15,15.55,54.55
2019-10-04,0.0,44.73,34.57,1005.98,8.19,55.63
2019-10-05,0.91,44.01,32.79,1008.22,16.4,58.61
2019-10-06,0.0,43.52,34.16,1008.98,13.6,50.13
2019-10-07,0.0,38.63,26.76,1009.27,13.44,50.29
2019-10-08,208.38,42.52,31.37,996.13,67.64,100.0
2019-10-09,0.0,41.08,30.1,1009.63,15.98,53.07
2019-10-10,0.0,41.12,33.66,1008.14,13.94,53.48
2019-10-11,0.0,40.82,30.36,1006.4,15.28,59.5
2019-10-12,0.0,44.38,38.17,1007.03,14.21,60.81
2019-10-13,223.02,41.03,34.47,994.98,70.55,100.0
2019-10-14,0.0,44.18,35.59,1012.03,12.04,45.85
2019-10-15,0.0,42.58,32.93,1009.43,17.67,63.75
2019-10-16,0.0,40.9,32.59,1008.05,20.51,54.12
2019-10-17,0.0,42.89,33.09,1010.54,13.68,54.08
2019-10-18,0.0,42.34,35.16,1004.9,9.49,58.8
2019-10-19,0.0,42.14,31.32,1006.87,15.44,68.65
2019-10-20,0.0,41.17,31.47,1007.71,13.04,51.02
2019-10-21,0.0,46.5,34.54,1007.91,12.8,51.74
2019-10-22,0.0,44.33,34.05,1007.73,9.26,59.48
2019-10-23,0.0,41.67,34.13,1008.22,14.43,51.93
2019-10-24,1.21,38.3,31.58,1006.85,18.87,52.91
2019-10-25,102.83,43.59,33.58,1001.58,36.44,92.9
2019-10-26,2.53,42.95,31.71,1008.99,12.79,57.57
2019-10-27,1.91,39.1,30.19,1006.92,12.83,56.04
2019-10-28,0.0,44.99,35.08,1006.7,15.41,59.23
2019-10-29,0.0,40.53,29.8,1006.36,18.18,53.75
2019-10-30,0.0,42.11,34.2,1009.22,8.49,60.86
2019-10-31,0.0,40.36,33.36,1010.22,10.68,53.93
2019-11-01,0.0,44.91,36.87,1010.09,13.55,51.43
2019-11-02,0.0,38.99,31.68,1009.91,13.92,56.4
2019-11-03,1.66,42.21,30.43,1007.19,13.11,54.95
2019-11-04,152.08,41.64,33.9,1001.27,51.74,100.0
2019-11-05,0.0,39.03,30.99,1005.77,10.42,55.71
2019-11-06,0.0,43.33,34.69,1008.75,10.81,50.63
2019-11-07,1.05,38.05,28.57,1009.06,13.75,49.77
2019-11-08,0.0,42.54,33.12,1009.35,10.31,57.48
2019-11-09,1.61,38.85,27.07,1008.26,15.16,57.82
2019-11-10,0.0,42.46,35.71,1007.41,12.0,59.37
2019-11-11,0.0,41.54,29.66,1006.24,17.38,54.74
2019-11-12,0.0,39.92,29.35,1007.02,14.72,42.9
2019-11-13,0.0,44.06,33.48,1007.49,15.67,55.45
2019-11-14,4.81,43.95,32.59,1007.4,16.98,41.74
2019-11-15,0.0,41.52,31.39,1007.42,16.86,60.51
2019-11-16,0.0,43.79,36.12,1007.2,16.86,57.57
2019-11-17,3.35,42.47,35.61,1008.87,17.24,59.78
2019-11-18,0.0,42.08,35.54,1009.61,11.54,54.88
2019-11-19,0.0,40.93,34.26,1007.18,8.32,56.07
2019-11-20,170.1,42.56,36.26,999.2,56.04,100.0
2019-11-21,0.0,42.92,31.35,1007.06,16.49,54.03
2019-11-22,0.0,42.38,30.51,1006.14,9.04,61.02
2019-11-23,5.49,35.0,25.49,1007.95,13.43,57.59
2019-11-24,0.0,42.66,31.84,1008.84,17.18,68.8
2019-11-25,0.0,40.85,33.15,1005.35,15.01,50.26
2019-11-26,209.78,39.58,31.92,995.44,65.46,100.0
2019-11-27,0.71,39.05,32.43,1009.65,10.14,51.12
2019-11-28,0.0,41.22,32.61,1008.29,13.32,58.78
2019-11-29,2.9,35.74,25.94,1007.62,16.29,51.79
2019-11-30,0.0,38.43,31.8,1009.59,15.85,61.02
2019-12-01,1.12,40.47,31.87,1008.83,9.95,54.29
2019-12-02,0.0,39.38,28.77,1007.78,17.71,53.4
2019-12-03,0.0,41.56,32.73,1006.29,13.18,56.83
2019-12-04,0.0,37.13,30.31,1009.23,17.82,59.05
2019-12-05,0.0,37.79,27.51,1010.46,14.58,54.26
2019-12-06,0.0,39.0,32.33,1007.76,8.77,55.6
2019-12-07,0.0,39.55,30.59,1006.51,16.34,42.95
2019-12-08,0.0,39.89,28.11,1007.61,20.05,56.08
2019-12-09,0.0,41.28,32.15,1009.08,13.29,55.96
2019-12-10,0.0,39.97,31.88,1010.32,16.97,48.24
2019-12-11,0.0,40.03,29.35,1008.37,7.18,50.32
2019-12-12,0.0,39.4,28.92,1005.54,11.91,54.79
2019-12-13,0.0,39.57,27.79,1008.35,13.38,51.75
2019-12-14,0.0,38.69,28.96,1007.52,15.18,62.06
2019-12-15,4.17,36.76,26.72,1010.12,12.61,49.96
2019-12-16,0.0,38.75,27.41,1005.25,13.04,55.76
2019-12-17,0.02,37.52,30.72,1011.13,14.12,57.93
2019-12-18,0.0,43.16,36.7,1008.01,16.52,51.91
2019-12-19,0.0,34.6,28.34,1010.3,13.4,48.84
2019-12-20,0.0,38.08,26.32,1008.88,14.14,56.66
2019-12-21,0.0,42.91,36.47,1005.96,14.49,55.21
2019-12-22,3.93,38.82,26.96,1008.62,13.06,58.62
2019-12-23,0.0,36.76,26.92,1009.25,11.13,57.36
2019-12-24,0.0,38.59,32.52,1010.34,10.25,58.02
2019-12-25,0.0,39.45,32.88,1009.07,12.69,54.67
2019-12-26,0.0,36.84,29.1,1008.51,16.23,54.09
2019-12-27,0.0,35.66,25.13,1005.6,8.4,60.04
2019-12-28,0.0,39.07,30.92,1005.63,10.37,58.65
2019-12-29,6.26,38.2,30.88,1006.19,16.21,55.93
2019-12-30,0.0,38.3,29.68,1008.88,15.65,68.17
2019-12-31,0.0,36.2,24.84,1006.0,18.23,52.97
2020-01-01,0.0,35.01,25.46,1007.98,12.35,49.87
2020-01-02,0.0,32.62,21.75,1008.3,12.56,59.79
2020-01-03,0.0,39.1,32.19,1009.79,14.33,60.26
2020-01-04,0.0,36.65,29.88,1007.88,16.07,42.21
2020-01-05,9.04,36.11,28.28,1005.92,18.3,51.97
2020-01-06,0.0,36.98,29.16,1009.7,17.58,50.09
2020-01-07,0.0,36.48,25.07,1006.3,12.21,62.11
2020-01-08,0.0,36.12,26.85,1008.34,11.51,57.61
2020-01-09,0.0,38.37,32.11,1008.16,15.95,47.48
2020-01-10,0.0,39.08,32.47,1009.21,19.99,70.55
2020-01-11,0.0,39.22,30.45,1009.49,14.69,57.49
2020-01-12,0.0,36.13,25.29,1009.01,12.33,49.5
2020-01-13,0.0,39.01,29.63,1009.41,13.98,58.34
2020-01-14,0.0,37.72,27.31,1007.2,13.12,54.64
2020-01-15,0.0,36.6,29.19,1008.68,16.67,57.88
2020-01-16,0.0,40.28,29.1,1008.06,15.48,52.37
2020-01-17,0.0,34.56,23.37,1007.58,12.56,50.69
2020-01-18,0.0,37.23,26.45,1009.21,16.05,48.17
2020-01-19,0.0,36.53,28.81,1007.04,10.91,48.24
2020-01-20,0.0,38.75,30.32,1006.7,12.39,46.46
2020-01-21,0.0,35.37,27.12,1007.76,14.48,57.51
2020-01-22,0.0,33.78,25.27,1008.78,12.76,56.3
2020-01-23,0.0,35.06,23.18,1005.5,14.1,51.21
2020-01-24,8.82,35.53,25.1,1006.08,14.28,66.15
2020-01-25,0.0,32.92,25.69,1007.02,8.76,54.36
2020-01-26,0.0,36.25,26.63,1008.1,13.75,55.93
2020-01-27,2.28,38.76,31.15,1009.73,17.01,49.94
2020-01-28,0.0,32.53,24.91,1009.39,17.05,56.36
2020-01-29,0.0,35.18,25.65,1008.42,17.14,60.85
2020-01-30,0.0,35.62,28.1,1007.62,15.72,54.69
2020-01-31,0.0,34.69,24.65,1008.63,13.93,54.13
2020-02-01,3.45,35.12,27.57,1009.03,19.89,53.57
2020-02-02,2.23,38.45,30.99,1009.8,13.05,56.99
2020-02-03,5.25,33.67,26.05,1006.65,20.43,55.07
2020-02-04,0.0,34.01,22.3,1008.36,15.22,57.26
2020-02-05,0.0,35.25,28.05,1009.11,18.25,58.41
2020-02-06,0.0,33.5,25.27,1008.06,14.46,58.83
2020-02-07,0.0,33.39,22.01,1005.93,17.32,58.21
2020-02-08,0.0,32.21,21.98,1009.04,9.15,44.82
2020-02-09,0.0,33.72,25.06,1009.29,11.93,55.02
2020-02-10,0.0,33.77,23.84,1010.17,11.9,52.54
2020-02-11,0.18,35.78,24.49,1006.43,15.76,59.9
2020-02-12,0.85,32.46,23.37,1006.71,7.78,57.92
2020-02-13,0.0,35.53,27.68,1008.82,10.56,48.18
2020-02-14,0.0,34.04,24.72,1006.72,9.8,55.07
2020-02-15,0.0,36.29,25.13,1008.72,12.83,62.95
2020-02-16,0.0,35.33,28.25,1006.61,10.89,58.72
2020-02-17,0.45,34.55,27.58,1010.59,11.98,48.84
2020-02-18,0.63,39.12,31.65,1008.61,13.72,52.22
2020-02-19,0.0,36.25,27.76,1011.13,18.03,43.35
2020-02-20,0.0,32.42,23.42,1008.8,17.05,53.79
2020-02-21,0.0,32.07,22.44,1008.13,12.99,51.05
2020-02-22,2.94,33.1,21.73,1005.9,14.85,48.64
2020-02-23,0.0,33.9,24.54,1006.85,18.39,59.98
2020-02-24,0.0,36.43,25.5,1008.2,13.84,61.12
2020-02-25,0.0,33.41,26.31,1010.15,11.6,54.68
2020-02-26,0.0,33.29,24.04,1009.41,12.18,56.06
2020-02-27,0.0,33.21,21.22,1010.02,8.37,58.1
2020-02-28,0.0,31.24,24.83,1005.79,12.19,43.97
2020-02-29,0.0,36.28,30.23,1009.45,15.95,49.31
2020-03-01,0.0,34.2,27.8,1010.27,15.37,62.28
2020-03-02,0.0,35.12,26.01,1008.94,15.23,50.69
2020-03-03,0.0,32.14,24.97,1008.79,14.89,57.32
2020-03-04,0.0,34.62,24.7,1010.16,14.57,59.71
2020-03-05,0.0,33.32,23.02,1006.17,11.46,51.74
2020-03-06,0.0,31.95,23.4,1006.97,14.05,59.51
2020-03-07,0.2,31.61,20.68,1010.27,17.38,58.04
2020-03-08,0.0,31.21,19.58,1009.34,9.73,60.53
2020-03-09,0.0,34.56,27.24,1006.58,9.42,58.09
2020-03-10,0.0,34.44,23.87,1008.94,11.15,62.17
2020-03-11,0.0,34.0,27.77,1005.65,10.29,60.82
2020-03-12,0.0,32.61,21.21,1009.1,12.59,58.22
2020-03-13,0.0,34.76,23.61,1008.92,13.71,52.48
